name,gender,probability
louetta,female,1
madie,female,1
mai,female,0.88
martina,female,0.94
maryann,female,0.95
melva,male,0.55
mena,female,0.75
mercedes,female,0.97
merle,male,0.79
mima,female,1
minda,female,1
monica,female,0.98
nealie,female,0.55
netta,female,1
nolia,female,1
nonie,female,1
odelia,female,1
ottilie,female,1
phyllis,female,0.76
robbie,male,0.81
sabina,female,1
sada,female,1
sammie,female,0.59
suzanne,female,0.92
sybilla,female,1
thea,female,0.99
tressie,female,0.5
vallie,female,0.64
venie,female,1
viney,female,1
wilhelmine,female,1
winona,female,1
zelda,female,0.99
zilpha,female,1
adelle,female,1
adina,female,1
adrienne,female,0.98
albertine,female,1
alys,female,1
ana,female,1
araminta,female,1
arthur,male,1
birtha,female,1
bulah,female,1
caddie,female,1
celie,female,1
charlotta,female,1
clair,female,0.91
concepcion,female,0.53
cordella,female,1
corrine,female,1
delila,female,1
delphine,female,0.92
dosha,female,1
edgar,male,1
elaine,female,0.99
elisa,female,0.99
ellar,female,1
elmire,female,1
elvina,female,1
ena,female,1
estie,female,1
etter,female,1
fronnie,female,1
genie,female,0.67
georgina,female,1
glenn,male,0.97
gracia,female,1
guadalupe,female,0.89
gwendolyn,female,0.99
hassie,female,0.5
honora,female,1
icy,female,1
isa,male,0.61
isadora,female,1
jesse,male,0.97
jewel,female,0.97
joe,male,0.99
johannah,female,1
juana,female,0.95
judith,female,0.98
judy,female,0.96
junie,female,0.69
lavonia,female,1
lella,female,1
lemma,female,1
letty,female,1
linna,female,1
littie,female,1
lollie,female,1
lorene,female,0.72
louis,male,1
love,female,0.92
lovisa,female,1
lucina,female,1
lynn,female,0.84
madora,female,1
mahalia,female,1
manervia,female,1
manuela,female,0.93
margarett,female,1
margaretta,female,1
margarita,female,0.95
marilla,female,1
mignon,female,1
mozella,female,1
natalie,female,1
nelia,female,1
nolie,male,0.58
omie,female,0.5
opal,female,0.98
ossie,female,0.55
ottie,female,0.57
ottilia,female,1
parthenia,female,1
penelope,female,1
pinkey,male,0.55
pollie,female,1
rennie,male,0.54
reta,female,1
roena,female,1
rosalee,female,1
roseanna,female,1
ruthie,female,0.96
sabra,female,1
sannie,female,1
selena,female,0.99
sibyl,female,1
tella,female,1
tempie,female,1
tennessee,male,0.52
teressa,female,1
texas,male,0.58
theda,female,1
thelma,female,0.84
thursa,female,1
ula,female,0.64
vannie,female,0.5
verona,female,1
vertie,female,0.55
wilma,female,0.74
edward,male,1
albert,male,0.99
samuel,male,1
david,male,1
charlie,male,0.52
richard,male,1
andrew,male,1
daniel,male,1
ernest,male,0.96
will,male,0.98
oscar,male,1
lewis,male,0.99
peter,male,1
benjamin,male,1
frederick,male,0.99
alfred,male,0.98
sam,male,0.98
roy,male,0.99
herbert,male,0.94
jacob,male,1
tom,male,0.91
elmer,male,0.97
carl,male,0.99
howard,male,0.97
martin,male,1
michael,male,1
bert,male,0.71
herman,male,0.94
jim,male,0.89
harvey,male,0.99
earl,male,0.96
eugene,male,0.98
ralph,male,0.97
ed,male,0.57
edwin,male,1
ben,male,0.98
charley,female,0.88
paul,male,1
isaac,male,1
otto,male,0.98
luther,male,0.95
lawrence,male,0.99
patrick,male,1
guy,male,0.97
oliver,male,1
theodore,male,1
hugh,male,0.98
alexander,male,1
august,male,0.89
floyd,male,0.96
homer,male,0.85
jack,male,1
leonard,male,0.98
horace,male,0.82
philip,male,0.99
allen,male,0.99
archie,male,0.97
stephen,male,1
chester,male,0.95
willis,male,0.94
raymond,male,1
rufus,male,0.9
warren,male,0.99
milton,male,0.96
alex,male,0.94
julius,male,1
bernard,male,0.95
dan,male,0.93
jerry,male,0.99
calvin,male,1
perry,male,0.62
dave,male,0.93
anthony,male,1
amos,male,0.98
dennis,male,0.99
leroy,male,0.98
wesley,male,0.99
alonzo,male,0.99
garfield,male,1
franklin,male,0.99
emil,male,0.96
leon,male,1
nathan,male,1
harold,male,0.98
matthew,male,1
levi,male,0.99
moses,male,0.99
everett,male,0.99
lester,male,0.94
winfield,male,1
adam,male,1
lloyd,male,0.93
mack,male,0.99
fredrick,male,0.97
jay,male,0.99
jess,male,0.87
melvin,male,0.99
noah,male,0.99
aaron,male,1
alvin,male,0.98
norman,male,0.95
gilbert,male,0.97
elijah,male,1
victor,male,1
gus,male,0.97
nelson,male,0.99
jasper,male,0.98
silas,male,1
jake,male,1
christopher,male,1
mike,male,0.97
percy,male,0.91
adolph,male,0.53
maurice,male,0.99
cornelius,male,0.97
felix,male,0.99
reuben,male,0.98
wallace,male,0.96
claud,female,0.5
roscoe,male,0.93
sylvester,male,0.92
earnest,male,0.86
hiram,male,1
otis,male,0.98
simon,male,1
willard,male,0.9
irvin,male,0.95
mark,male,1
jose,male,1
wilbur,male,0.85
abraham,male,1
virgil,male,0.93
clinton,male,0.98
elbert,male,0.71
marshall,male,1
owen,male,1
wiley,male,0.9
anton,male,0.96
morris,male,0.93
manuel,male,0.99
phillip,male,0.99
augustus,male,0.99
emmett,male,1
eli,male,1
nicholas,male,1
wilson,male,0.99
harley,female,0.74
newton,male,0.84
timothy,male,1
marvin,male,0.99
ross,male,0.95
curtis,male,0.99
edmund,male,0.97
jeff,male,0.93
elias,male,1
harrison,male,1
stanley,male,0.98
columbus,male,1
lon,male,0.62
russell,male,0.99
solomon,male,0.99
arch,male,1
asa,male,0.89
clayton,male,0.99
enoch,male,1
irving,male,0.93
mathew,male,0.99
nathaniel,male,1
scott,male,0.99
hubert,male,0.86
lemuel,male,1
andy,male,0.97
ellis,male,0.72
emanuel,male,0.99
joshua,male,1
millard,male,0.56
vernon,male,0.94
wade,male,0.99
cyrus,male,0.99
miles,male,1
rudolph,male,0.87
sherman,male,0.89
austin,male,0.97
bill,male,0.87
chas,male,0.58
